%OpenBCI Raw EXG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Marker Channel, Timestamp (Formatted)
0, 12.34, -5.67, 8.91, -3.21, 6.78, -2.10, 4.56, -1.89, 0.01, 0.02, 0.98, 0, 0, 0, 0, 0, 1775960000.000, 0, 2026-04-12 03:00:00.000
1, 13.41, -6.12, 9.34, -2.98, 7.21, -1.85, 4.92, -2.05, 0.01, 0.02, 0.98, 0, 0, 0, 0, 0, 1775960000.004, 0, 2026-04-12 03:00:00.004
2, 14.02, -5.89, 9.78, -3.45, 7.65, -2.34, 5.12, -1.76, 0.01, 0.02, 0.98, 0, 0, 0, 0, 0, 1775960000.008, 0, 2026-04-12 03:00:00.008
3, 13.78, -6.45, 9.12, -3.12, 7.34, -2.01, 4.78, -1.92, 0.01, 0.02, 0.98, 0, 0, 0, 0, 0, 1775960000.012, 0, 2026-04-12 03:00:00.012
4, 12.91, -5.34, 8.67, -3.78, 6.92, -2.45, 4.34, -2.11, 0.01, 0.02, 0.98, 0, 0, 0, 0, 0, 1775960000.016, 0, 2026-04-12 03:00:00.016
5, 13.65, -5.98, 9.23, -3.56, 7.12, -2.21, 4.65, -1.84, 0.01, 0.02, 0.98, 0, 0, 0, 0, 0, 1775960000.020, 0, 2026-04-12 03:00:00.020
6, 14.21, -6.21, 9.56, -3.34, 7.45, -2.12, 4.89, -1.95, 0.01, 0.02, 0.98, 0, 0, 0, 0, 0, 1775960000.024, 0, 2026-04-12 03:00:00.024
7, 13.92, -5.76, 9.34, -3.67, 7.21, -2.34, 4.71, -2.03, 0.01, 0.02, 0.98, 0, 0, 0, 0, 0, 1775960000.028, 0, 2026-04-12 03:00:00.028
8, 12.78, -6.34, 8.92, -3.21, 6.85, -2.45, 4.43, -1.87, 0.01, 0.02, 0.98, 0, 0, 0, 0, 0, 1775960000.032, 0, 2026-04-12 03:00:00.032
9, 13.45, -5.89, 9.21, -3.45, 7.12, -2.18, 4.67, -1.99, 0.01, 0.02, 0.98, 0, 0, 0, 0, 0, 1775960000.036, 0, 2026-04-12 03:00:00.036
10, 14.12, -6.12, 9.65, -3.78, 7.45, -2.34, 4.92, -2.12, 0.01, 0.02, 0.98, 0, 0, 0, 0, 0, 1775960000.040, 0, 2026-04-12 03:00:00.040
11, 13.87, -5.65, 9.34, -3.23, 7.21, -2.01, 4.78, -1.85, 0.01, 0.02, 0.98, 0, 0, 0, 0, 0, 1775960000.044, 0, 2026-04-12 03:00:00.044
12, 12.94, -5.92, 8.78, -3.56, 6.92, -2.23, 4.45, -1.92, 0.01, 0.02, 0.98, 0, 0, 0, 0, 0, 1775960000.048, 0, 2026-04-12 03:00:00.048
13, 13.56, -6.21, 9.12, -3.34, 7.12, -2.45, 4.67, -2.05, 0.01, 0.02, 0.98, 0, 0, 0, 0, 0, 1775960000.052, 0, 2026-04-12 03:00:00.052
14, 14.21, -5.78, 9.45, -3.67, 7.34, -2.12, 4.89, -1.78, 0.01, 0.02, 0.98, 0, 0, 0, 0, 0, 1775960000.056, 0, 2026-04-12 03:00:00.056
15, 13.78, -6.34, 9.21, -3.21, 7.21, -2.34, 4.71, -1.95, 0.01, 0.02, 0.98, 0, 0, 0, 0, 0, 1775960000.060, 0, 2026-04-12 03:00:00.060
16, 12.92, -5.45, 8.92, -3.45, 6.85, -2.21, 4.43, -2.03, 0.01, 0.02, 0.98, 0, 0, 0, 0, 0, 1775960000.064, 0, 2026-04-12 03:00:00.064
17, 13.65, -5.98, 9.34, -3.78, 7.12, -2.18, 4.65, -1.87, 0.01, 0.02, 0.98, 0, 0, 0, 0, 0, 1775960000.068, 0, 2026-04-12 03:00:00.068
18, 14.12, -6.12, 9.56, -3.34, 7.45, -2.45, 4.92, -1.99, 0.01, 0.02, 0.98, 0, 0, 0, 0, 0, 1775960000.072, 0, 2026-04-12 03:00:00.072
19, 13.87, -5.76, 9.21, -3.67, 7.21, -2.12, 4.78, -2.12, 0.01, 0.02, 0.98, 0, 0, 0, 0, 0, 1775960000.076, 0, 2026-04-12 03:00:00.076
20, 12.78, -6.21, 8.78, -3.21, 6.92, -2.34, 4.45, -1.85, 0.01, 0.02, 0.98, 0, 0, 0, 0, 0, 1775960000.080, 0, 2026-04-12 03:00:00.080
21, 13.45, -5.89, 9.12, -3.45, 7.12, -2.01, 4.67, -1.92, 0.01, 0.02, 0.98, 0, 0, 0, 0, 0, 1775960000.084, 0, 2026-04-12 03:00:00.084
22, 14.21, -5.34, 9.45, -3.78, 7.34, -2.23, 4.89, -2.05, 0.01, 0.02, 0.98, 0, 0, 0, 0, 0, 1775960000.088, 0, 2026-04-12 03:00:00.088
23, 13.78, -5.98, 9.21, -3.56, 7.21, -2.45, 4.71, -1.78, 0.01, 0.02, 0.98, 0, 0, 0, 0, 0, 1775960000.092, 0, 2026-04-12 03:00:00.092
24, 12.91, -6.45, 8.92, -3.34, 6.85, -2.12, 4.43, -1.95, 0.01, 0.02, 0.98, 0, 0, 0, 0, 0, 1775960000.096, 0, 2026-04-12 03:00:00.096
